ID_Capsula_Padre,Titulo_Episodio,Link_YouTube
amplificado,(HD) ALEJANDRO Y MARIA LAURA / SENSUAL INTERGALACTICA : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=17JaOIFtTQ0
amplificado,(HD) BALANCER / IN THE HIGHLANDS: AMPLIFICADO EN EL FESTIVAL YAVERIA,https://www.youtube.com/watch?v=JEgJ_pfnsRc
amplificado,(HD) CORAL GROUP / BLACK PARROT : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=6JdnZZ8WnPs
amplificado,(HD)  RADIO MATUNA / GRIS VIDEOCLIP OFICIAL: AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=UcmmqKRJjUA
amplificado,(HD) VALERIA CINI / GUARAÑA DE LAS LUCES : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=zyfXT5WRqgs
amplificado,(HD) CHIRIMIA DEL RIO NAPI / ARRIBA QUE NO ES ABAJO : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=AYlXK1xNozA
amplificado,(HD) LAS ROBERTAS / MARLENE : AMPLIFICADO (COSTA RICA),https://www.youtube.com/watch?v=BMu24wB7kJs
amplificado,(HD) MUSIC FROM MY LAND / I JUST WANT TO LOVE YOU : AMPLIFICADO(SAN ANDRÉS Y PROVIDENCIA),https://www.youtube.com/watch?v=ebIIhFYYdNw
amplificado,(HD) EL HIPNOTIZADOR ROMANTICO / COMO VERDURITA FRESCA : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=2qVqVSljqMQ
amplificado,(HD) CUMBIA ALL STARS / LA DANZA DE LA TORTUGA : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=mOPfVIQImiA
amplificado,(HD) ALGUACIL☆ FEAT. PIH POH / REBEL SOUNDS : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=zzJgSDQFmDY
amplificado,(HD) MARTIN BUSCAGLIA / ANTE LA DUDA TODO : AMPLIFICADO (URUGUAY),https://www.youtube.com/watch?v=HTwqSVkw4fw
amplificado,(HD) CORAL GROUP / COCONUT WOMAN : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=S18HEazgxeo
amplificado,(HD) ULTIMO EXPRESSO / HEROES MUDOS : AMPLIFICADO.TV (ARGENTINA),https://www.youtube.com/watch?v=1mlCDasVMRI
amplificado,(HD) LA DESGRACIA EN COMPAÑIA / JUDIO CONVERSO : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=lO-A45I_Pg4
amplificado,(HD) KANAKU & EL TIGRE / CARACOLES : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=oxZrPF4Z-gM
amplificado,(HD) PAUCHI SASAKI / IMPROVISACION 1: AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=aPS7-KvY1SU
amplificado,(HD) GAITEROS DE SAN JACINTO / ZAFRAS : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=DirzVKbmSEk
amplificado,(HD) JUAN CIREROL / ERES TAN CRUEL : AMPLIFICADO(MÉXICO),https://www.youtube.com/watch?v=C2DLMVlpnTc
amplificado,(HD) PROPHET NEGUS / 500 YEARS : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=eGfVh-vKoMc
amplificado,(HD) EL REMOLÓN / CONSTITUCIÓN : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=eY7SVqfS7q0
amplificado,(HD) PAITO / LA QUE SE PEGUA : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=OC1UgJqOd7A
amplificado,(HD) BALANCER / STAY OUTSIDE : AMPLIFICADO (FESTIVAL YAVERIA 2013 ),https://www.youtube.com/watch?v=jD806-J0uiw
amplificado,(HD) ROYAL RUDES / WHAT YOU GONNA DO : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=05SNiSFVXyc
